company,store_name,address,latitude,longitude,都道府県,place_id,source
薬王堂,薬王堂 つがる柏店,青森県つがる市柏下古川花崎142,40.79845,140.428329,青森県,,
薬王堂,薬王堂 つがる稲垣店,青森県つがる市稲垣町沼崎船橋1番地80,40.87891,140.390457,青森県,,
薬王堂,薬王堂 むつ下北町店,青森県むつ市下北町2番34号,41.283916,141.189682,青森県,,
薬王堂,薬王堂 むつ中央店,青森県むつ市中央2丁目19番11号,41.292187,141.17984,青森県,,
薬王堂,薬王堂 むつ大平店,青森県むつ市大平町６番地１,41.284428,141.171432,青森県,,
薬王堂,薬王堂 むつ大畑店,青森県むつ市大畑町松ノ木160番地1,41.393997,141.149796,青森県,,
薬王堂,薬王堂 むつ柳町店,青森県むつ市柳町四丁目11番51号,41.304802,141.216965,青森県,,
薬王堂,薬王堂 むつ横迎町店,青森県むつ市横迎町一丁目11番45号,41.289909,141.218491,青森県,,
薬王堂,薬王堂 三戸川守田店,青森県三戸郡三戸町三戸町大字川守田字沖中61番地1,40.378445,141.258743,青森県,,
薬王堂,薬王堂 三沢南山店,青森県三沢市南山三丁目172番地10号,40.678589,141.399506,青森県,,
薬王堂,薬王堂 上北北店,青森県上北郡東北町上北北二丁目33番地197,40.730637,141.253372,青森県,,
薬王堂,薬王堂 五戸下中崎店,青森県三戸郡五戸町字下中崎9番地2,40.525494,141.310913,青森県,,
薬王堂,薬王堂 五所川原新宮店,青森県五所川原市幾世森175-1,40.820438,140.445877,青森県,,
薬王堂,薬王堂 五所川原石岡店,青森県五所川原市大字唐笠柳字藤巻592番地2号,40.800228,140.452988,青森県,,
薬王堂,薬王堂 五所川原稲実店,青森県五所川原市大字稲実字米崎22番3,40.790485,140.463638,青森県,,
薬王堂,薬王堂 五所川原金木店,青森県五所川原市金木町玉水178番地8,40.920578,140.55191,青森県,,
薬王堂,薬王堂 八戸ニュータウン店,青森県八戸市西白山台四丁目6番1号,40.478619,141.455475,青森県,,
薬王堂,薬王堂 八戸南郷店,青森県八戸市南郷市野沢字黒坂11番地17,40.401711,141.445816,青森県,,
薬王堂,薬王堂 八戸城下店,青森県八戸市沼館一丁目1番18号,40.523144,141.49054,青森県,,
薬王堂,薬王堂 八戸尻内店,青森県八戸市大字尻内町字直田11-3,40.517273,141.425751,青森県,,
薬王堂,薬王堂 八戸新井田店,青森県八戸市新井田西一丁目1番3号,40.502281,141.514954,青森県,,
薬王堂,薬王堂 八戸河原木店,青森県八戸市大字河原木字二階堀5番1,40.544437,141.458054,青森県,,
薬王堂,薬王堂 八戸田向店,青森県八戸市田向二丁目1番23号,40.495106,141.509018,青森県,,
薬王堂,薬王堂 八戸白銀店,青森県八戸市白銀町八森19番地2,40.519367,141.532486,青森県,,
薬王堂,薬王堂 八戸長根店,青森県八戸市長根三丁目11番1号,40.513653,141.481674,青森県,,
薬王堂,薬王堂 十和田三本木店,青森県十和田市大字三本木字本金崎229-2,40.61158,141.184418,青森県,,
薬王堂,薬王堂 十和田元町店,青森県十和田市元町西5丁目1番7,40.621765,141.200592,青森県,,
薬王堂,薬王堂 十和田東店,青森県十和田市東十三番町18-3,40.62101,141.225983,青森県,,
薬王堂,薬王堂 十和田稲吉店,青森県十和田市東十四番町43番8-2号,40.61319,141.229233,青森県,,
薬王堂,薬王堂 岡三沢店,青森県三沢市東岡三沢一丁目80番地3号,40.691471,141.380814,青森県,,
薬王堂,薬王堂 平川大光寺店,青森県平川市大光寺三村井70番地3,40.590481,140.557953,青森県,,
薬王堂,薬王堂 平川柏木店,青森県平川市柏木町藤山13番地10,40.582558,140.564438,青森県,,
薬王堂,薬王堂 弘前安原店,青森県弘前市大字泉野5丁目5-1,40.572285,140.493835,青森県,,
薬王堂,薬王堂 弘前富田町店,青森県弘前市大字富田町162番地,40.586243,140.476028,青森県,,
薬王堂,薬王堂 弘前早稲田店,青森県弘前市早稲田一丁目4-5,40.604378,140.51207,青森県,,
薬王堂,薬王堂 弘前桔梗野店,青森県弘前市大字桔梗野二丁目11番1,40.59309,140.463516,青森県,,
